env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
LunarLander-v3,mixture_anneal,mixture_anneal,3,ok,400000,93.1753827535423,168.43109380141047,62.20426018753295,904,266.11451601982117,1503.1122915903113
LunarLander-v3,mixture_anneal,mixture_anneal,4,ok,400000,180.6829202575744,208.27312743450358,73.53903674498947,969,265.3507251739502,1507.4388801379032
LunarLander-v3,topk3_boltzmann,topk_boltzmann,0,ok,400000,141.20946988823042,186.60705576721077,32.699266464067755,1046,263.39129185676575,1518.6530928194966
LunarLander-v3,topk3_boltzmann,topk_boltzmann,1,ok,400000,177.6066442240325,218.805028770883,64.05077263286982,977,266.45478415489197,1501.1927868687744
LunarLander-v3,topk3_boltzmann,topk_boltzmann,2,ok,400000,105.83771666937207,193.66591034488852,5.855084999956598,1001,263.76150608062744,1516.5215195492808
LunarLander-v3,topk3_boltzmann,topk_boltzmann,3,ok,400000,121.32352273551582,176.0108658866747,30.46096466983196,978,262.4850718975067,1523.896186203645
LunarLander-v3,topk3_boltzmann,topk_boltzmann,4,ok,400000,26.201431904414903,211.2918126653562,35.36038652270472,935,266.54934191703796,1500.6602422019778
LunarLander-v3,topk_boltzmann,topk_boltzmann,0,ok,400000,186.06005173206322,208.14178676484124,37.35866596524852,974,251.06846618652344,1593.1909175038834
LunarLander-v3,topk_boltzmann,topk_boltzmann,1,ok,400000,134.22819406122645,192.45793276235443,35.136058227386926,967,244.82645988464355,1633.8103331987504
LunarLander-v3,topk_boltzmann,topk_boltzmann,2,ok,400000,151.85518589896785,168.95856052086882,-2.0902507904810093,984,245.56793022155762,1628.8771894567415
LunarLander-v3,topk_boltzmann,topk_boltzmann,3,ok,400000,149.5763921203609,206.86615607657032,92.39356346833584,965,243.64839124679565,1641.7099983838314
LunarLander-v3,topk_boltzmann,topk_boltzmann,4,ok,400000,156.969158332007,198.5326384703035,29.64158835727826,981,263.41522693634033,1518.515101242299
LunarLander-v3,topp_boltzmann,topp_boltzmann,0,ok,400000,102.03086222883074,186.56936667028225,14.285993150999937,995,244.91804909706116,1633.1993557627914
LunarLander-v3,topp_boltzmann,topp_boltzmann,1,ok,400000,34.12508189632849,80.48830338774292,-34.05393812552205,940,250.53513503074646,1596.5824512035438
LunarLander-v3,topp_boltzmann,topp_boltzmann,2,ok,400000,159.6811578628627,191.64925857134625,74.19767784448999,957,243.56620621681213,1642.2639503771604
LunarLander-v3,topp_boltzmann,topp_boltzmann,3,ok,400000,87.84671721247808,167.32854966991187,16.420242865646387,1040,245.33471584320068,1630.4255947847578
LunarLander-v3,topp_boltzmann,topp_boltzmann,4,ok,400000,124.30312672025444,162.79179894696682,7.805174449208946,974,241.8661687374115,1653.8071533033242
